Pid,phenotype_name,description,synonyms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0005450,Calvarial osteosclerosis,An increase in bone density affecting the calvaria (roof of the skull).,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0005446,Obtuse angle of mandible,"Abnormally flat (obtuse) angle of the mandible. The angle of the mandibular, located at the junction between the body and the ramus of the mandible, is normally close to being a right angle. This terms describes an abnormal increase of this angle such that the mandible appears flatter than normal.",High mandibular plane angle;Steep mandibular plane angle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0005439,Maxillozygomatic hypoplasia,Hypoplasia of the maxillozygomatic complex.,Decreased projection of zygomaticomaxillary bone complex;Decreased size of zygomaticomaxillary bone complex;Deficiency of zygomaticomaxillary bone complex;Hypoplasia of malar bone complex;Hypoplasia of zygomaticomaxillary complex;Underdevelopment of zygomaticomaxillary bone complex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0005346,Abnormal facial expression,None,Abnormal facial expression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0005338,Sparse lateral eyebrow,Decreased density/number and/or decreased diameter of lateral eyebrow hairs.,Lateral hypoplasia of eyebrows;Lateral thinning of eyebrows;Laterally sparse eyebrow;Laterally sparse eyebrows;Limited hair on end of eyebrow;Sparse lateral eyebrows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0005336,Forehead hyperpigmentation,None,Darkening of the forehead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0005335,Sleepy facial expression,None,Sleepy facial expression;Somnolent facial expression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0005332,Recurrent mandibular subluxations,Recurrent partial dislocations of the mandible.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0005329,Fixed facial expression,None,Fixed facial expression;Unchanging facial expression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0005328,Progeroid facial appearance,"A degree of wrinkling of the facial skin that is more than expected for the age of the individual, leading to a prematurely aged appearance.",Aged facial appearance;Premature aged appearance;Prematurely aged face;Prematurely aged facial appearance;Wizened face,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0005327,Loss of facial expression,None,Loss of facial expression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0005326,Hypoplastic philtrum,Underdevelopment of the philtrum.,Small philtrum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0005325,Extension of hair growth on temples to lateral eyebrow,A pattern of hair growth in which there is hair extending from the temples to the lateral eyebrows.,Unusual hairline with hair growth on temples extending to lateral eyebrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0005324,Disturbance of facial expression,"An abnormality of the gestures or movements executed with the facial muscles with which emotions such as fear, joy, sadness, surprise, and disgust can be expressed.",Disturbance of facial expression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0005323,Hemifacial hypertrophy,"Unilateral overgrowth of facial tissues, including muscles, bones and skin.",Enlargement of half of face;Facial hemihyperplasia;Facial hemihypertophy;Friedreich's disease;Hemifacial enlargement;Hypertrophy of half of face;Increase in size of half of face;Overgrowth of half of face,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0005322,Prominent nasal septum,None,Low hanging nasal septum;Low hanging septum of nose;Prominent nasal septum;Prominent septum of nose;Visible nasal septum;Visible septum of nose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0005321,Mandibulofacial dysostosis,"A type of craniofacial dysostosis associated with abnormalities of the external ears, mirognathia, macrostomia, coloboma of the lower eyelid, and cleft palate. This is a bundled term that is left in the HPO now for convenience with legacy annotations but should not be used for new annotations.",Treacher Collins syndrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0005289,Abnormality of the nasolabial region,None,Anomaly of the nasolabial region;Deformity of the nasolabial region;Malformation of the nasolabial region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0005288,Abnormal nostril morphology,Abnormality of the nostril.,Abnormal naris morphology;Abnormality of the nares;Abnormality of the nostrils;Anomaly of the nares;Deformity of the nares;Deformity of the nostrils;Malformation of the nares;Malformation of the nostrils,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0005285,Absent nasal bridge,None,Absent bridge of nose;Absent nasal bridge;Agenesis of bridge of nose;Agenesis of nasal bridge;Missing bridge of nose;Missing nasal bridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0005281,Hypoplastic nasal bridge,None,Decreased size of bridge of nose;Decreased size of nasal bridge;Hypoplastic bridge of nose;Hypotrophic bridge of nose;Hypotrophic nasal bridge;Small bridge of nose;Small nasal bridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0005280,Depressed nasal bridge,Posterior positioning of the nasal root in relation to the overall facial profile for age.,"Concave bridge of nose;Concave nasal bridge;Depressed bridge of nose;Depressed nasal bridge;Depressed nasal root;Depressed nasal root/bridge;Flat bridge of nose;Flat nasal bridge;Flat nasal root;Flat, nasal bridge;Flattened nasal bridge;Low nasal bridge;Low nasal root;Retruded bridge of nose;Retruded nasal bridge",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0005278,Hypoplastic nasal tip,None,Aplasia of nasal tip;Decreased size of nasal tip;Decreased size of tip of nose;Deficient nasal tip;Hypoplasia of tip of nose;Hypotrophic nasal tip;Hypotrophic tip of nose;Small nasal tip;Small tip of nose;Underdevelopment of nasal tip;Underdevelopment of tip of nose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0005275,Cartilaginous ossification of nose,None,Cartilaginous nasal ossification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0005274,Prominent nasal tip,None,Bulbous tip of nose;Hyperplasia of nasal tip;Hyperplasia of tip of nose;Hypertrophy of nasal tip;Hypertrophy of tip of nose;Large nasal tip;Large tip of nose;Prominent nasal tip;Prominent tip of nose;Pronounced nasal tip;Pronounced tip of nose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0005273,Absent nasal septal cartilage,Lack of the cartilage of the nasal septum.,Absent nasal septal cartilage;Absent nasal septum;Ageneis of nasal septal cartilage;Failure of development of nasal septal cartilage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0005272,Prominent nasolabial fold,"Exaggerated bulkiness of the crease or fold of skin running from the lateral margin of the nose, where nasal base meets the skin of the face, to a point just lateral to the corner of the mouth (cheilion, or commissure).","Deep laugh lines;Deep nasolabial crease;Deep nasolabial fold;Deep nasolabial groove;Deep smile lines;Nasolabial crease, prominent;Prominent laugh lines;Prominent nasolabial groove;Prominent smile lines",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0005216,Impaired mastication,"An abnormal reduction in the ability to masticate (chew), i.e., in the ability to crush and ground food in preparation for swallowing.",Chewing difficulties;Chewing difficulty;Difficulty chewing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0005105,Abnormal nasal morphology,None,Abnormal nose morphology;Abnormal of morphology of nose;Abnormal of nasal shape;Abnormal of shape of nose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0005104,Hypoplastic nasal septum,Underdevelopment of the nasal septum.,Decreased size of nasal septum;Decreased size of septum of nose;Hypoplasia of septum of nose;Small nasal septum;Small septum of nose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0005103,Calcification of the auricular cartilage,Ossification affecting the external ear cartilage.,Cartilaginous ossification of pinnae;Ear cartilage calcification;Ossification of pinnae;Petrified ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0005102,Cochlear degeneration,Deterioration or loss of the tissues of the cochlea.,Progressive cochlear degeneration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0005101,High-frequency hearing impairment,"A type of hearing impairment affecting primarily the higher frequencies of sound (3,000 to 6,000 Hz).","Hearing loss, high-frequency;High frequency hearing loss;High-frequency deafness;Progressive high frequency hearing loss;Progressive high-frequency hearing loss",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0004768,Sparse anterior scalp hair,Decreased number of head hairs per unit area on the anterior region of the scalp.,Sparse scalp hair at front of head;Thin scalp hair at front of head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0004676,Prominent supraorbital arches in adult,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0004673,Decreased facial expression,A reduced degree of voluntary and involuntary facial movements involved in responded to others or expressing emotions.,Decreased facial expression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0004664,Facial midline hemangioma,"Hemangioma, a benign tumor of the vascular endothelial cells, occurring in the midline region of the face.",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0004661,Frontalis muscle weakness,Reduced strength of the frontalis muscle (which is located on the forehead).,Weak frontalis muscle;Weakness of forehead muscle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0004660,Hypoplasia of facial musculature,Underdevelopment of one or more muscles innervated by the facial nerve (the seventh cranial nerve).,Atrophy of facial musculature;Decreased size of facial muscles;Deficiency of facial musculature;Hypotrophic facial musculature;Small facial muscles;Underdevelopment of facial muscles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0004646,Hypoplasia of the nasal bone,Underdevelopment of the nasal bone.,Decreased size of nasal bone;Deficiency of nasal bone;Hypotrophic nasal bone;Nasal bone hypoplasia;Small nasal bone;Underdevelopment of nasal bone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0004554,Generalized hypertrichosis,"Generalized excessive, abnormal hairiness.",Generalised hypertrichosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0004523,Long eyebrows,Increased length of the hairs of the eyebrows.,Elongated eyebrow;Increased horizontal length of eyebrow;Increased transverse length of eyebrow;Long eyebrows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0004502,Bilateral choanal atresia,Bilateral absence (atresia) of the posterior nasal aperture (choana).,Bilateral blockage of the rear opening of the nasal cavity;Bilateral obstruction of the rear opening of the nasal cavity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0004499,Chronic rhinitis due to narrow nasal airway,None,Chronic nasal inflammation due to narrow nasal airway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0004493,Craniofacial hyperostosis,Excessive growth of the craniofacial bones.,Enlargement of craniofacial bones;"Excessive bone growth of the skull and face";Excessive growth of craniofacial bones;Hyperostosis of craniofacial bones;Hypertrophy of craniofacial bones;Increased ossification of craniofacial bones;Overgrowth of craniofacial bones;Thick craniofacial bones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0004484,Craniofacial asymmetry,Asymmetry of the bones of the skull and the face.,Abnormality of craniofacial shape;Malformation of craniofacial shape;Uneven craniofacial structures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0004482,Relative macrocephaly,"A relatively mild degree of macrocephaly in which the head circumference is not above two standard deviations from the mean, but appears dysproportionately large when other factors such as body stature are taken into account.","Disproportionately large head;Macrocephaly, relative;Relatively large head",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0004472,Mandibular hyperostosis,Hyperostosis (bony overgrowth) of the mandible.,Excessive growth of mandibular bone;Hyperostosis of lower jaw;Hyperostosis of mandibular bone;Increased ossification of lower jaw;Increased ossification of mandible;Increased ossification of mandibular bone;Overgrowth of mandibular bone;Thick lower jaw bone;Thick mandibular bone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0004467,Preauricular pit,Small indentation anterior to the insertion of the ear.,Ear pit;Pit in front of the ear;Preauricular earpits;Preauricular fistulas;Preauricular pits;Preauricular sinus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0004464,Postauricular pit,Benign congenital lesion of the postauricular soft tissue consisting of a blind-ending narrow tube or pit.,Pit behind the ear;Postauricular earpits;Postauricular fistula;Posterior auricular pit;Posterior auricular sinus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0004461,Congenital earlobe sinuses,Pits in the earlobes at the location where ears are typically pierced for earrings.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0004459,Exostosis of the external auditory canal,A benign bony growth projecting outward from a bone surface within the external auditory canal.,External auditory canal exostoses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0004458,Dilatated internal auditory canal,The presence of a dilated inner part of external acoustic meatus.,Bulbous internal auditory canal;Enlarged internal auditory canal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0004454,Abnormal middle ear reflexes,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0004453,Overfolding of the superior helices,A condition in which the superior portion of the helix is folded over to a greater degree than normal.,Overfolding of superior helix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0004452,Abnormality of the middle ear ossicles,"An abnormality of the middle-ear ossicles (three small bones called malleus, incus, and stapes) that are contained within the middle ear and serve to transmit sounds from the air to the fluid-filled labyrinth (cochlea).",Malformed ossicles;Ossicular malformation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0004451,Postauricular skin tag,A rudimentary tag of ear tissue often containing a core of cartilage and located just in back of the auricle (outer part of the ear).,Postauricular acrochordon;Postauricular fibroepithelial polyp;Skin tag behind the ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0004450,Preauricular skin furrow,A groove of the skin immediately in front of the ear.,Preauricular skin furrows;Preauricular skin groove;Preauricular skin sulcus;Skin groove in front of the ear;Skin sulcus in front of the ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0004439,Craniofacial dysostosis,A characteristic appearance resulting from defective ossification of craniofacial bones.,Crouzon syndrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0004428,Elfin facies,"This is a description previously used to describe a facial form characterized by a short, upturned nose, wide mouth, widely spaced eyes, and full cheeks. Because of the imprecision in this definition it is preferable to describe these features precisely. This term is retained because it was often used in the past, but it should not be used for new annotations.",Elf-like facial appearance;Elf-like facial features;Leprechaun facies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0004426,Abnormal cheek morphology,An abnormality of the cheek- one of two bilateral soft tissue facial structures in the region of the face inferior to the eyes and between the nose and the ear. Buccal means relating to the cheek. The cheek is part of the midface,Abnormality of the cheek;Abnormality of the cheeks;Anomaly of the cheeks;Deformity of the cheeks;Malformation of the cheeks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0004425,Flat forehead,A forehead with abnormal flatness.,Flat forehead;Flattened forehead;Frontal flattening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0004422,Biparietal narrowing,"A narrowing of the biparietal diameter (i.e., of the transverse distance between the protuberances of the two parietal bones of the skull).",Decreased width of the skull,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0004411,Deviated nasal septum,Positioning of the nasal septum to the right or left in contrast to the normal midline position of the nasal septum.,Crooked nasal septum;Crooked septum of nose;Deviated nasal septum;Deviated septum of nose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0004409,Hyposmia,"A decreased sensitivity to odorants (that is, a decreased ability to perceive odors).",Decreased smell sensation;Sense of smell impaired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0004408,Abnormality of the sense of smell,An anomaly in the ability to perceive and distinguish scents (odors).,Abnormal sense of smell;Abnormality of olfaction;Abnormality of the sense of smell;Smell defect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0004407,Bony paranasal bossing,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0004406,"Spontaneous, recurrent epistaxis",None,"Recurrent epistaxes;Recurrent epistaxis;Recurring nosebleed;Spontaneous, recurrent nosebleed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0004329,Abnormal posterior eye segment morphology,None,Abnormal morphology of the posterior segment of the globe;Abnormality of the posterior segment of the eye;Abnormality of the posterior segment of the eyeball;Abnormality of the posterior segment of the globe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0004328,Abnormal anterior eye segment morphology,"An abnormality of the anterior segment of the eyeball (which comprises the structures in front of the vitreous humour: the cornea, iris, ciliary body, and lens).",Abnormal anterior segment morphology;Abnormality of the anterior segment of the eye;Abnormality of the anterior segment of the eyeball;Abnormality of the anterior segment of the globe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0004327,Abnormal vitreous humor morphology,Any structural anomaly of the vitreous body.,Abnormal vitreous humour morphology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0004132,Dimple on nasal tip,An abnormal indentation of the skin in the region of the nasal tip.,Dimple on nasal tip;Dimpled tip of nose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0004122,Midline defect of the nose,This term groups together three conditions that presumably represent different degrees of severity of a midline defect of the nose or nasal tip.,Central cleft of nose;Central defect of nose;Central nasal defect;Midline cleft of nose;Midline defect of the nose;Midline nasal defect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0004112,Midline nasal groove,An abnormal groove on the midline of the nose that may extend to the nasal tip.,Central nasal groove;Midline nasal groove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0003781,Excessive salivation,Excessive production of saliva.,Excessive production of saliva;Excessive salivation;Hypersalivation;Mouth watering;Oversalivation;Ptyalism;Watery mouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0003779,Antegonial notching of mandible,None,Deep antegonial notch of mandible;Large antegonial notch of mandible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0003778,Short mandibular rami,None,Decreased height of mandibular ramus;Decreased size of mandibular ramus;"Short body and ramus of mandible";Short mandibular ramus;Underdeveloped mandibular rami,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0003771,Pulp calcification,"Pulp calcifications may appear as punctate calcifications, irregular, roughly spherical mineralized masses in any part of the pulp. It may occur isolated or associated to calcifications elsewhere such as the carotid arteries and kidneys. The diagnosis pulp calcifications can be established using radiological studies.",False denticles;False pulp stones;Pulp calcifications;Pulp denticles;Pulp stones;Pulpoliths;True denticles;True pulp stones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0003196,Short nose,"Distance from nasion to subnasale more than two standard deviations below the mean, or alternatively, an apparently decreased length from the nasal root to the nasal tip.",Decreased length of nose;Hypoplastic nose;Nasal hypoplasia;Short nose;Shortened nose;Small nose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0003194,Short nasal bridge,"Decreased superior-inferior length of the nasal bridge, which is the saddle-shaped area that includes the nasal root and the lateral aspects of the nose.",Decreased length of bridge of nose;Decreased length of nasal bridge;Short bridge of nose;Short nasal bridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0003193,Allergic rhinitis,"It is characterized by one or more symptoms including sneezing, itching, nasal congestion, and rhinorrhea.",Hay fever;Hayfever;Nasal allergies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0003191,Cleft ala nasi,The presence of a notch in the margin of the ala nasi.,"Ala nasi, cleft;Alar clefts;Cleft nasal alae;Cleft nostril;Nostril coloboma;Notched nasal alae",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0003189,Long nose,"Distance from nasion to subnasale more than two standard deviations above the mean, or alternatively, an apparently increased length from the nasal root to the nasal base.",Elongated nose;Increased height of nose;Increased length of nose;Increased nasal height;Increased nasal length;Long nose;Nasal elongation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0002788,Recurrent upper respiratory tract infections,"An increased susceptibility to upper respiratory tract infections as manifested by a history of recurrent upper respiratory tract infections (running ears - otitis, sinusitis, pharyngitis, tonsillitis).","Frequent upper respiratory infections;Frequent upper respiratory tract infections;Recurrent colds;""Recurrent upper respiratory and lower respiratory infections"";Recurrent upper respiratory infection;Recurrent upper respiratory infections;Recurrent URI;Upper respiratory tract infections;Upper respiratory tract infections, recurrent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0002745,Oral leukoplakia,A thickened white patch on the oral mucosa that cannot be rubbed off.,leukokeratosis;Oral idiopathic keratosis;Oral idiopathic leukoplakia;Oral idiopathic white patch;Oral leucoplakia;Oral leukokeratosis;Oral leukoplasia;Oral white patch;Oral white plaque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0002744,"""Bilateral cleft lip and palate""",Cleft lip and cleft palate affecting both sides of the face.,"""Bilateral cleft lip and cleft palate"";""Right and left cleft lip and palate""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0002738,Hypoplastic frontal sinuses,Underdevelopment of frontal sinus.,Decreased pneumatization of frontal sinus;Decreased volume of frontal sinuses;Hypotrophic frontal sinus;Small frontal sinuses;Underdeveloped frontal sinuses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0002714,Downturned corners of mouth,A morphological abnormality of the mouth in which the angle of the mouth is downturned. The oral commissures are positioned inferior to the midline labial fissure.,Downturned corners of mouth;Downturned corners of the mouth;Downturned mouth;Downturned oral commisures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0002711,Exaggerated median tongue furrow,Increased depth of the median tongue furrow.,Deep central lingual furrow;Deep central lingual groove;Deep central tongue furrow;Deep central tongue groove;Deep median lingual furrow;Deep median lingual groove;Deep median tongue furrow;Deep median tongue groove;Exaggerated median lingual furrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0002710,Commissural lip pit,A depression located at an oral commissure.,Commissural labial pits;Commissural pit;Lip pits at corners of the mouth;Pits at the corners of the lips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0002708,Prominent median palatal raphe,"Unusual prominence of the median palatal raphe, which is the ridge formed by the fusion of the two plates of the skull that form the hard palate.",Prominent central palatal ridge;Prominent central ridge on roof of the mouth;Prominent medial palatal suture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0002707,Palate telangiectasia,The presence of small (ca. 0.5-1.0 mm) dilated blood vessels near the surface of the mucous membranes of the palate.,Palatal angioectasia;Palatal spider veins;Palatal telangiectasia;Palate telangiectases;Palate teleangiectases;Spider veins of the roof of the mouth;Telangiectasia of the roof of the mouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0002705,"High, narrow palate",The presence of a high and narrow palate.,"Gothic palate;High narrow palate;High vaulted palate;High, narrow palate;""Narrow and high arched palate"";Narrow, high-arched palate;Narrow, high-arched roof of mouth;Narrow, highly arched palate;Narrow, highly arched roof of mouth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0002692,Hypoplastic facial bones,None,Decreased size of facial bones;Decreased size of facial skeleton;Flattening of facial bones;Flattening of facial skeleton;Hypoplasia of facial skeleton;Hypotrophic facial bones;Hypotrophic facial skeleton;Small facial bones;Small facial skeleton;Underdevelopment of facial bones;Underdevelopment of facial skeleton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0002689,Absent paranasal sinuses,Aplasia of the paranasal sinuses.,Absence of paranasal sinuses;Aplasia of paranasal sinuses;Missing paranasal sinuses;Missing sinuses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0002688,Absent frontal sinuses,Aplasia of frontal sinus.,Absence of frontal sinuses;Absent frontal sinus;Aplasia of frontal sinus;Aplasia sinus frontalis;Missing frontal sinus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0002687,Abnormality of frontal sinus,"An abnormality of the frontal sinus, one of the mucosa-lined, normally air-filled paranasal sinuses of the bones of the skull. The frontal sinus is located within the frontal bone.",Abnormality of sinus frontalis;Abnormality of the forehead sinus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0002553,Highly arched eyebrow,"Increased height of the central portion of the eyebrow, forming a crescent, semicircular, or inverted U shape.","Arched eyebrows;""Bowed and upward slanting eyebrows"";Broad, arched eyebrows;High arched eyebrows;High, rounded eyebrows;High-arched eyebrows;Highly arched eyebrow;Thick, flared eyebrows",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0002491,Spasticity of facial muscles,Spasticity of one or more muscles innervated by the facial nerve.,Increased stiffness of facial muscles;Increased tone of facial muscles;Spasticity of the facial muscles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0002321,Vertigo,An abnormal sensation of spinning while the body is actually stationary.,Dizziness;Dizzy spell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0002307,Drooling,Habitual flow of saliva out of the mouth.,Dribbling;Drooling;Sialorrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0002277,Horner syndrome,"An abnormality resulting from a lesion of the sympathetic nervous system characterized by a combination of unilateral ptosis, miosis, and often ipsilateral hypohidrosis and conjunctival injection.",Horner's syndrome;Oculosympathetic palsy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0002265,Large fleshy ears,None,Large fleshy ears,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0002263,Exaggerated cupid's bow,More pronounced paramedian peaks and median notch of the Cupid's bow.,"Cupid bow upper lip;Cupid's bow, accentuated;Cupid-bow shaped upper lip;Exaggerated cupid's bow;Prominent cupid-bow of upper lip",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0002257,Chronic rhinitis,Chronic inflammation of the nasal mucosa.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0002236,Frontal upsweep of hair,Upward and/or sideward growth of anterior hair.,Cowlick;Frontal Cowlick;Frontal upsweep of hair;Upswept frontal hair;Upswept frontal hair pattern;Upswept frontal hairline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0002227,White eyelashes,White color (lack of pigmentation) of the eyelashes.,Blonde eyelashes;Depigmented eyelashes;Grey eyelashes;Pale eyelashes;White eyelashes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0002226,White eyebrow,White color (lack of pigmentation) of the eyebrow.,Blonde eyebrow;Depigmented eyebrow;Grey eyebrow;Hypopigmented eyebrow;Pale eyebrow;White eyebrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0002223,Absent eyebrow,Absence of the eyebrow.,Absent eyebrow;Absent eyebrows;Agenesis of eyebrows;Aplasia of eyebrows;Failure of development of eyebrows;Loss of eyebrows;Missing eyebrows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0002209,Sparse scalp hair,Decreased number of hairs per unit area of skin of the scalp.,Decreased number of scalp follicles;Hypotrichosis on scalp;Reduced amount of scalp hair;Reduced/lack of hair on scalp;Reduction in the number of scalp follicles;Scalp hypotrichosis;Sparse scalp hair;Thin scalp hair;Thinning scalp hair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0002162,Low posterior hairline,Hair on the neck extends more inferiorly than usual.,Low hairline at back of neck;Low posterior hair line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0002058,Myopathic facies,"A facial appearance characteristic of myopathic conditions. The face appears expressionless with sunken cheeks, bilateral ptosis, and inability to elevate the corners of the mouth, due to muscle weakness.",Myopathic face;Myopathic facial appearance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0002057,Prominent glabella,Forward protrusion of the glabella.,Convex glabella;Hyperplasia of glabella;Prominent area between the eyebrows;Protruding area between the eyebrows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0002056,Abnormality of the glabella,An abnormality of the glabella.,Abnormality of the area between the eyebrows;Deformity of the area between the eyebrows;Glabellar abnormality;Malformation of the area between the eyebrows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0002055,Curved linear dimple below the lower lip,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
